id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1236948,Byron Bay Tree House Lower Level,6694798,Jeanine,,BYRON SHIRE COUNCIL,-28.65226,153.61996,Entire home/apt,451,2,7,2019-01-04,0.11,7,350
1240901,Rainforest Room—Self-Contained Studio in Coorabell,6764610,Sue,,BYRON SHIRE COUNCIL,-28.61467,153.47871,Entire home/apt,140,2,124,2019-05-26,1.89,1,287
1249345,A PERFECT STAY - Aurora,1649158,A Perfect Stay,,BYRON SHIRE COUNCIL,-28.66218,153.60708,Entire home/apt,495,3,16,2019-01-27,0.31,114,222
1256450,Byron Bay Vista Lodge,6844154,Steve,,BYRON SHIRE COUNCIL,-28.65162,153.56608,Entire home/apt,225,2,84,2019-05-27,1.23,1,268
1328605,Lilac Room in Beautiful Byron Bay,6694798,Jeanine,,BYRON SHIRE COUNCIL,-28.65382,153.61906,Private room,90,2,161,2019-05-14,2.57,7,262
1328784,Byron TreeTop  King Room,6694798,Jeanine,,BYRON SHIRE COUNCIL,-28.65233,153.62049,Private room,85,1,106,2019-05-26,1.86,7,230
1356773,Angela's Villa Apartment - 2 b/r  Central to Byron,5217504,Jennifer,,BYRON SHIRE COUNCIL,-28.64479,153.60931,Entire home/apt,194,3,63,2019-04-14,0.88,5,0
1357658,Chill Out Space/Byron Style,1742857,Deborah,,BYRON SHIRE COUNCIL,-28.65789,153.61422,Private room,92,1,14,2019-03-30,0.20,2,348
1361341,1/40 Lawson Street Byron Bay,6948467,Kim,,BYRON SHIRE COUNCIL,-28.64202,153.61787,Entire home/apt,349,3,17,2019-04-15,0.25,8,273
1365111,Rosies Rest a Home away from home 2,3712701,Janet,,TWEED SHIRE COUNCIL,-28.23752,153.46112,Private room,39,1,34,2019-05-09,0.51,2,311
